	T89-1	T89-2	250-5	250-8	250-13
Potri.002G173300.0	303	492	323	182	460
Potri.002G173400.0	131	196	56	63	155
Potri.002G173500.0	3	18	2	1	7
Potri.002G173600.0	1	0	0	0	0
Potri.002G173700.0	100	106	56	35	80
Potri.002G173800.0	54	70	44	24	56
Potri.002G173900.0	1	1	1	0	2
Potri.002G174000.0	0	0	0	0	0
Potri.002G174100.0	6	15	14	8	24
Potri.002G174200.0	0	1	0	0	0
Potri.002G174300.0	16	21	9	3	13
Potri.002G174400.0	64	88	42	37	69
Potri.002G174500.0	0	0	0	0	0
Potri.002G174600.0	3	7	0	0	3
Potri.002G174700.0	24	30	14	8	10
Potri.002G174800.0	0	0	0	0	0
Potri.002G174900.0	0	0	0	0	0
Potri.002G175000.0	31	33	24	21	54
Potri.002G175100.0	0	0	0	0	0
Potri.002G175200.0	2	2	1	0	2
Potri.002G175300.0	3	2	0	0	2
Potri.002G175400.0	13	9	1	4	1
Potri.002G175500.0	0	0	0	0	0
Potri.002G175600.0	72	87	32	44	57
Potri.002G175700.0	125	77	88	59	142
Potri.002G175800.0	77	125	65	33	92
Potri.002G175900.0	6	3	3	0	3
Potri.002G176000.0	105	101	81	58	120
Potri.002G176100.0	41	45	30	13	58
Potri.002G176200.0	29	43	28	16	46
Potri.002G176300.0	138	111	247	162	250
Potri.002G176400.0	29	21	14	8	30
Potri.002G176500.0	0	0	0	0	0
Potri.002G176600.0	0	0	0	0	0
Potri.002G176700.0	167	236	100	80	164
Potri.002G176800.0	1011	1035	430	408	787
Potri.002G176900.0	5	12	2	2	8
Potri.002G177000.0	0	0	0	0	0
Potri.002G177100.0	106	156	79	69	140
Potri.002G177200.0	0	0	0	0	0
Potri.002G177300.0	0	0	0	1	0
Potri.002G177400.0	1	0	0	0	2
Potri.002G177500.0	44	31	31	30	52
Potri.002G177600.0	143	179	109	68	179
Potri.002G177700.0	0	0	0	0	0
Potri.002G177800.0	0	0	0	0	0
Potri.002G177900.0	0	1	1	0	0
Potri.002G178000.0	1	0	2	2	0
Potri.002G178100.0	4	8	6	3	5
Potri.002G178200.0	110	144	83	37	134
Potri.002G178300.0	32	68	10	9	12
Potri.002G178400.0	4	11	6	3	8
Potri.002G178500.0	101	124	87	33	97
Potri.002G178600.0	0	0	0	0	0
Potri.002G178700.0	52	121	52	26	63
Potri.002G178800.0	0	0	0	0	0
Potri.002G178900.0	4	1	0	2	3
Potri.002G179000.0	0	0	0	0	0
Potri.002G179100.0	34	57	38	27	44
Potri.002G179200.0	1	1	2	1	3
Potri.002G179300.0	23	38	15	20	33
Potri.002G179400.0	581	549	291	262	504
Potri.002G179500.0	822	920	606	466	853
Potri.002G179600.0	229	280	127	114	219
Potri.002G179700.0	0	0	0	0	0
Potri.002G179800.0	27	91	69	31	98
Potri.002G179900.0	0	0	0	0	0
Potri.002G180000.0	0	0	0	1	0
Potri.002G180100.0	4	1	2	1	3
Potri.002G180200.0	0	0	0	0	0
Potri.002G180300.0	0	0	0	0	0
Potri.002G180400.0	13	11	20	7	19
Potri.002G180500.0	0	0	0	0	0
Potri.002G180600.0	35	62	13	7	7
Potri.002G180700.0	1	10	0	1	1
Potri.002G180800.0	40	713	176	95	255
Potri.002G180900.0	0	1	0	0	0
Potri.002G181000.0	13	13	10	7	10
Potri.002G181100.0	2	3	2	2	7
Potri.002G181200.0	0	0	0	0	0
Potri.002G181300.0	370	422	257	151	306
Potri.002G181400.0	125	258	167	89	218
Potri.002G181500.0	0	0	0	0	0
Potri.002G181600.0	0	1	0	2	0
Potri.002G181700.0	13	6	8	12	15
Potri.002G181800.0	3	6	5	1	3
Potri.002G181900.0	1	4	2	4	6
Potri.002G182000.0	6	1	1	1	3
Potri.002G182100.0	1	2	0	0	2
Potri.002G182200.0	1	0	0	0	0
Potri.002G182300.0	7	2	0	0	3
Potri.002G182400.0	26	38	10	16	28
Potri.002G182500.0	59	59	28	27	59
Potri.002G182600.0	48	44	36	20	45
Potri.002G182700.0	48	26	21	14	19
Potri.002G182800.0	149	149	98	52	137
Potri.002G182900.0	0	0	0	0	0
Potri.002G183000.0	13	11	12	6	15
Potri.002G183100.0	0	0	1	0	2
Potri.002G183200.0	6	2	4	1	3
Potri.002G183300.0	0	0	0	0	0
Potri.002G183400.0	169	164	88	72	166
Potri.002G183500.0	75	98	67	45	97
Potri.002G183600.0	18	12	6	7	27
Potri.002G183700.0	15	22	24	13	37
Potri.002G183800.0	5	5	2	3	12
Potri.002G183900.0	2	9	8	3	6
Potri.002G184000.0	85	81	55	47	77
Potri.002G184100.0	0	1	0	0	0
Potri.002G184200.0	312	311	202	87	211
Potri.002G184300.0	939	1147	742	440	917
Potri.002G184400.0	43	82	42	26	64
Potri.002G184500.0	0	0	0	0	0
Potri.002G184600.0	0	0	0	0	0
Potri.002G184700.0	0	0	0	0	0
Potri.002G184800.0	0	0	0	0	0
Potri.002G184900.0	1189	1661	579	336	911
Potri.002G185000.0	84	141	80	41	124
Potri.002G185100.0	0	2	0	1	4
Potri.002G185200.0	49	73	17	14	40
Potri.002G185300.0	80	128	36	19	62
Potri.002G185400.0	44	40	20	13	40
Potri.002G185500.0	0	0	0	0	1
Potri.002G185600.0	0	0	0	0	0
Potri.002G185700.0	0	0	0	0	0
Potri.002G185800.0	0	2	1	1	3
Potri.002G185900.0	64	95	30	43	68
Potri.002G186000.0	0	0	0	0	0
Potri.002G186100.0	28	37	24	11	36
Potri.002G186200.0	1	1	1	2	1
Potri.002G186300.0	54	60	35	20	53
Potri.002G186400.0	32	16	5	10	10
Potri.002G186500.0	0	0	0	0	0
Potri.002G186600.0	0	0	0	0	0
Potri.002G186700.0	0	0	0	0	0
Potri.002G186800.0	14	14	7	7	5
Potri.002G186900.0	31	39	21	17	40
Potri.002G187000.0	44	53	31	23	43
Potri.002G187100.0	0	2	2	1	1
Potri.002G187200.0	7	18	8	7	5
Potri.002G187300.0	6	6	9	6	16
Potri.002G187400.0	0	3	0	0	1
Potri.002G187500.0	688	1218	440	197	502
Potri.002G187600.0	47	103	31	30	59
Potri.002G187700.0	76	184	94	56	150
Potri.002G187800.0	0	1	1	1	1
Potri.002G187900.0	57	68	52	34	59
Potri.002G188000.0	4	2	0	0	2
Potri.002G188100.0	5	4	8	4	14
Potri.002G188200.0	19	21	11	10	23
Potri.002G188300.0	22	49	31	24	50
Potri.002G188400.0	70	150	94	51	166
Potri.002G188500.0	9	6	3	1	8
Potri.002G188600.0	66	118	74	31	79
Potri.002G188700.0	472	551	375	242	607
Potri.002G188800.0	0	0	0	0	0
Potri.002G188900.0	0	0	0	0	0
Potri.002G189000.0	5855	7004	3153	1696	4340
Potri.002G189100.0	0	0	0	0	0
Potri.002G189200.0	124	166	66	53	115
Potri.002G189300.0	7	18	2	1	3
Potri.002G189400.0	17	11	18	16	29
Potri.002G189500.0	0	0	3	0	1
Potri.002G189600.0	13	10	13	7	14
Potri.002G189700.0	150	194	122	89	148
Potri.002G189800.0	30	33	16	11	39
Potri.002G189900.0	785	786	430	298	531
Potri.002G190000.0	176	148	106	89	217
Potri.002G190100.0	0	0	0	0	0
Potri.002G190200.0	8	8	5	3	5
Potri.002G190300.0	13	12	9	3	12
Potri.002G190400.0	164	176	109	93	174
Potri.002G190500.0	197	232	177	96	211
Potri.002G190600.0	21	5	1	1	0
Potri.002G190700.0	0	3	3	0	0
Potri.002G190800.0	93	91	6	2	1
Potri.002G190900.0	7	13	6	2	8
Potri.002G191000.0	347	779	287	204	429
Potri.002G191100.0	19	65	11	9	13
Potri.002G191200.0	79	47	17	24	50
Potri.002G191300.0	59	61	39	29	65
Potri.002G191400.0	2563	3125	1511	1093	2007
Potri.002G191500.0	0	0	0	0	0
Potri.002G191600.0	0	1	0	1	1
Potri.002G191700.0	15	35	13	21	36
Potri.002G191800.0	0	0	0	0	0
Potri.002G191900.0	0	0	0	0	0
Potri.002G192000.0	0	0	0	0	0
Potri.002G192100.0	1	2	0	0	0
Potri.002G192200.0	35	35	23	13	49
Potri.002G192300.0	91	107	93	42	127
Potri.002G192400.0	2	4	11	1	4
Potri.002G192500.0	272	362	205	142	314
Potri.002G192600.0	0	0	0	0	0
Potri.002G192700.0	0	0	0	0	0
Potri.002G192800.0	78	93	81	33	111
Potri.002G192900.0	73	106	67	48	111
Potri.002G193000.0	26	38	28	27	65
Potri.002G193100.0	0	0	0	0	0
Potri.002G193200.0	0	0	0	0	0
Potri.002G193300.0	0	0	0	0	0
Potri.002G193400.0	65	69	28	31	72
Potri.002G193500.0	0	0	0	0	0
Potri.002G193600.0	0	0	0	0	0
Potri.002G193700.0	4	1	6	3	10
Potri.002G193800.0	42	46	28	18	44
Potri.002G193900.0	68	92	87	37	87
Potri.002G194000.0	621	804	431	281	572
Potri.002G194100.0	18	24	15	9	13
Potri.002G194200.0	134	143	63	53	116
Potri.002G194300.0	0	0	0	0	0
Potri.002G194400.0	3	0	0	0	1
Potri.002G194500.0	12	11	13	5	12
Potri.002G194600.0	50	60	37	22	52
Potri.002G194700.0	278	355	209	176	323
Potri.002G194800.0	1	0	0	0	0
Potri.002G194900.0	0	0	0	0	1
Potri.002G195000.0	0	0	0	0	0
Potri.002G195100.0	99	165	108	63	150
Potri.002G195200.0	39	42	25	18	32
Potri.002G195300.0	44	48	33	21	48
Potri.002G195400.0	338	447	119	113	176
Potri.002G195500.0	0	0	0	0	0
Potri.002G195600.0	0	0	0	0	0
Potri.002G195700.0	141	277	186	91	268
Potri.002G195800.0	47	87	43	28	81
Potri.002G195900.0	5	12	2	2	4
Potri.002G196000.0	23	28	26	13	20
Potri.002G196100.0	43	31	43	36	64
Potri.002G196200.0	174	192	107	87	165
Potri.002G196300.0	169	303	159	93	220
Potri.002G196400.0	0	0	0	0	0
Potri.002G196500.0	0	0	0	0	0
Potri.002G196600.0	0	1	0	1	0
Potri.002G196700.0	7	8	4	2	13
Potri.002G196800.0	0	0	0	1	0
Potri.002G196900.0	24	19	5	3	14
Potri.002G197000.0	0	0	1	0	0
Potri.002G197100.0	0	0	0	0	0
Potri.002G197200.0	1187	1730	438	325	514
Potri.002G197300.0	60	110	35	39	53
Potri.002G197400.0	7	11	12	7	16
Potri.002G197500.0	38	63	40	18	51
Potri.002G197600.0	86	93	45	43	73
Potri.002G197700.0	0	0	0	0	0
Potri.002G197800.0	699	840	411	263	633
Potri.002G197900.0	31	63	47	20	56
Potri.002G198000.0	69	98	46	29	68
Potri.002G198100.0	0	0	1	0	0
Potri.002G198200.0	9	11	2	6	13
Potri.002G198300.0	750	780	435	317	659
Potri.002G198400.0	10	16	9	8	8
Potri.002G198500.0	184	185	121	71	173
Potri.002G198600.0	63	41	32	26	61
Potri.002G198700.0	8	4	3	3	7
Potri.002G198800.0	0	4	0	0	1
Potri.002G198900.0	0	0	0	0	0
Potri.002G199000.0	0	0	0	0	0
Potri.002G199100.0	0	0	0	0	0
Potri.002G199200.0	0	0	0	0	0
Potri.002G199300.0	73	114	41	30	76
Potri.002G199400.0	4	4	1	2	2
Potri.002G199500.0	0	0	0	0	0
Potri.002G199600.0	74	111	44	31	62
Potri.002G199700.0	2	3	4	1	1
Potri.002G199800.0	5	1	0	0	1
Potri.002G199900.0	2	8	2	1	4
Potri.002G200000.0	31	40	19	20	40
Potri.002G200100.0	0	0	0	0	0
Potri.002G200200.0	145	230	130	92	152
Potri.002G200300.0	3	4	5	5	4
Potri.002G200400.0	12	7	8	4	11
Potri.002G200500.0	46	69	31	33	55
Potri.002G200600.0	23	23	24	11	35
Potri.002G200700.0	0	0	1	0	0
Potri.002G200800.0	0	0	0	0	0
Potri.002G200900.0	60	72	57	25	64
Potri.002G201000.0	1283	1968	1943	1354	2756
Potri.002G201100.0	0	0	0	0	0
Potri.002G201200.0	61	44	40	24	44
Potri.002G201300.0	261	308	155	111	175
Potri.002G201400.0	212	283	180	118	261
Potri.002G201500.0	1372	1192	656	476	1294
Potri.002G201600.0	13	22	30	21	72
Potri.002G201700.0	0	0	0	0	0
Potri.002G201800.0	0	0	0	0	0
Potri.002G201900.0	0	0	0	0	0
Potri.002G202000.0	138	119	106	87	150
Potri.002G202100.0	0	0	0	0	0
Potri.002G202200.0	0	0	0	0	0
Potri.002G202300.0	315	413	272	146	512
Potri.002G202400.0	0	0	0	0	0
Potri.002G202500.0	20	33	21	12	17
Potri.002G202600.0	0	0	1	0	0
Potri.002G202700.0	5	5	4	7	7
Potri.002G202800.0	156	152	77	64	120
Potri.002G202900.0	0	0	0	0	0
Potri.002G203000.0	0	0	0	0	0
Potri.002G203100.0	0	0	0	0	0
Potri.002G203200.0	117	167	78	66	98
Potri.002G203300.0	0	0	0	0	0
Potri.002G203400.0	52	59	29	25	46
Potri.002G203500.0	27	30	8	7	18
Potri.002G203600.0	30	34	19	16	27
Potri.002G203700.0	80	74	40	31	69
Potri.002G203800.0	0	0	0	0	0
Potri.002G203900.0	20	8	7	7	10
Potri.002G204000.0	316	388	231	143	320
Potri.002G204100.0	90	87	36	39	74
Potri.002G204200.0	0	0	0	0	0
Potri.002G204300.0	19	22	10	10	27
Potri.002G204400.0	767	1318	993	796	1887
Potri.002G204500.0	0	0	0	0	0
Potri.002G204600.0	0	0	0	0	0
Potri.002G204700.0	15	14	7	8	10
Potri.002G204800.0	0	0	0	0	2
Potri.002G204900.0	24	25	9	8	16
Potri.002G205000.0	2	1	0	0	2
Potri.002G205100.0	1	0	1	0	1
Potri.002G205200.0	5	10	6	5	9
Potri.002G205300.0	13	15	7	6	11
Potri.002G205400.0	26	33	12	8	23
Potri.002G205500.0	17	45	8	9	13
Potri.002G205600.0	41	30	22	16	46
Potri.002G205700.0	177	175	89	92	137
Potri.002G205800.0	4	6	3	4	5
Potri.002G205900.0	253	449	272	141	355
Potri.002G206000.0	0	0	0	0	0
Potri.002G206100.0	0	0	0	0	0
Potri.002G206200.0	102	134	79	60	124
Potri.002G206300.0	13	12	10	7	14
Potri.002G206400.0	0	2	8	3	17
Potri.002G206500.0	0	0	0	0	0
Potri.002G206600.0	0	0	0	0	0
Potri.002G206700.0	106	142	57	52	180
Potri.002G206800.0	14	15	19	6	13
Potri.002G206900.0	0	0	0	0	0
Potri.002G207000.0	0	0	0	0	0
Potri.002G207100.0	0	0	0	0	0
Potri.002G207200.0	24	30	28	19	38
Potri.002G207300.0	0	0	0	0	0
Potri.002G207400.0	1	0	1	0	0
Potri.002G207500.0	0	15	0	0	1
Potri.002G207600.0	0	0	0	0	0
Potri.002G207700.0	0	0	0	0	1
Potri.002G207800.0	20	30	19	12	32
Potri.002G207900.0	0	0	0	0	0
Potri.002G208000.0	6	1	0	1	3
Potri.002G208100.0	197	192	108	57	145
Potri.002G208200.0	0	0	0	0	0
Potri.002G208300.0	1	0	0	0	0
Potri.002G208400.0	6	4	3	1	3
Potri.002G208500.0	0	0	0	0	0
Potri.002G208600.0	0	0	0	0	0
Potri.002G208700.0	0	0	0	0	0
Potri.002G208800.0	0	0	0	0	0
Potri.002G208900.0	0	0	0	0	0
Potri.002G209000.0	0	0	0	0	0
Potri.002G209100.0	0	0	0	0	0
Potri.002G209200.0	0	0	0	0	0
Potri.002G209300.0	0	0	0	0	0
Potri.002G209400.0	0	0	0	0	0
Potri.002G209500.0	0	0	0	0	0
Potri.002G209600.0	0	0	0	0	0
Potri.002G209700.0	72	68	27	22	56
Potri.002G209800.0	1	0	0	1	0
Potri.002G209900.0	53	106	69	35	93
Potri.002G210000.0	6	13	2	3	5
Potri.002G210100.0	0	0	0	0	0
Potri.002G210200.0	0	0	0	0	0
Potri.002G210300.0	0	0	2	0	2
Potri.002G210400.0	0	1	0	0	0
Potri.002G210500.0	0	0	0	0	0
Potri.002G210600.0	0	0	0	0	1
Potri.002G210700.0	0	1	0	1	0
Potri.002G210800.0	0	0	0	0	0
Potri.002G210900.0	0	0	0	0	0
Potri.002G211000.0	0	0	0	0	0
Potri.002G211100.0	4	8	13	2	8
Potri.002G211200.0	0	0	0	0	0
Potri.002G211300.0	54	67	81	19	52
Potri.002G211400.0	29	40	55	22	39
Potri.002G211500.0	0	0	2	0	0
Potri.002G211600.0	1	1	3	0	1
Potri.002G211700.0	2	0	2	0	0
Potri.002G211800.0	8	8	7	2	6
Potri.002G211900.0	0	0	0	0	0
Potri.002G212000.0	0	0	0	0	0
Potri.002G212100.0	0	0	0	0	0
Potri.002G212200.0	0	0	0	0	0
Potri.002G212300.0	0	0	0	0	0
Potri.002G212400.0	26	22	20	18	22
Potri.002G212500.0	0	0	0	0	0
Potri.002G212600.0	157	207	90	76	160
Potri.002G212700.0	12	18	7	4	15
Potri.002G212800.0	23	24	15	11	24
Potri.002G212900.0	30	36	20	15	28
Potri.002G213000.0	0	0	0	0	0
Potri.002G213100.0	1	6	5	6	16
Potri.002G213200.0	18	27	15	4	29
Potri.002G213300.0	238	364	259	163	420
Potri.002G213400.0	162	224	144	97	236
Potri.002G213500.0	44	40	32	20	52
Potri.002G213600.0	266	356	189	125	271
Potri.002G213700.0	0	0	0	0	0
Potri.002G213800.0	6	11	6	7	14
Potri.002G213900.0	5	6	5	1	6
Potri.002G214000.0	41	48	36	28	72
Potri.002G214100.0	8	17	1	1	1
Potri.002G214200.0	6	0	1	0	0
Potri.002G214300.0	1	0	0	0	0
Potri.002G214400.0	275	387	194	153	308
Potri.002G214500.0	69	113	53	41	102
Potri.002G214600.0	2	2	1	1	2
Potri.002G214700.0	1	5	1	0	2
Potri.002G214800.0	1	20	12	4	20
Potri.002G214900.0	2	0	1	1	1
Potri.002G215000.0	0	0	0	0	0
Potri.002G215100.0	77	86	73	39	141
Potri.002G215200.0	0	0	0	0	0
Potri.002G215300.0	0	0	0	0	0
Potri.002G215400.0	7	4	2	1	7
Potri.002G215500.0	0	0	0	0	0
Potri.002G215600.0	52	74	57	27	79
Potri.002G215700.0	65	74	42	21	62
Potri.002G215800.0	102	138	93	43	127
Potri.002G215900.0	69	47	46	30	82
Potri.002G216000.0	114	159	66	37	82
Potri.002G216100.0	187	256	155	94	184
Potri.002G216200.0	71	80	69	44	72
Potri.002G216300.0	0	0	0	0	0
Potri.002G216400.0	591	841	369	204	424
Potri.002G216500.0	0	0	0	0	0
Potri.002G216600.0	237	352	177	128	295
Potri.002G216700.0	0	0	0	0	0
Potri.002G216800.0	3	2	3	2	2
Potri.002G216900.0	23	45	41	17	58
Potri.002G217000.0	261	352	214	146	344
Potri.002G217100.0	0	0	1	0	1
Potri.002G217200.0	421	592	350	228	429
Potri.002G217300.0	1124	1625	789	559	1153
Potri.002G217400.0	0	0	0	0	0
Potri.002G217500.0	1	1	0	0	1
Potri.002G217600.0	0	2	2	0	0
Potri.002G217700.0	8	7	6	3	6
Potri.002G217800.0	4	4	0	0	2
Potri.002G217900.0	1	3	1	0	0
Potri.002G218000.0	0	0	0	0	0
Potri.002G218100.0	96	123	56	24	85
Potri.002G218200.0	0	0	0	0	0
Potri.002G218300.0	0	0	0	0	0
Potri.002G218400.0	0	0	0	0	0
Potri.002G218500.0	0	1	0	0	0
Potri.002G218600.0	0	0	0	0	0
Potri.002G218700.0	0	0	0	0	0
Potri.002G218800.0	0	0	0	0	0
Potri.002G218900.0	0	0	0	0	0
Potri.002G219000.0	0	0	0	0	0
Potri.002G219100.0	0	0	0	0	1
Potri.002G219200.0	308	286	164	129	251
Potri.002G219300.0	51	54	55	24	53
Potri.002G219400.0	4	6	2	0	6
Potri.002G219500.0	15	18	23	8	16
Potri.002G219600.0	0	0	0	0	0
Potri.002G219700.0	0	0	0	0	0
Potri.002G219800.0	0	0	0	0	0
Potri.002G219900.0	3	3	1	0	1
Potri.002G220000.0	2	0	0	0	0
Potri.002G220100.0	0	0	0	0	0
Potri.002G220200.0	9	13	10	7	12
Potri.002G220300.0	2	2	2	0	4
Potri.002G220400.0	4	3	7	6	23
Potri.002G220500.0	0	0	0	0	0
Potri.002G220600.0	4	5	3	1	2
Potri.002G220700.0	3	12	7	7	14
Potri.002G220800.0	0	0	0	0	0
Potri.002G220900.0	0	0	0	0	0
Potri.002G221000.0	0	1	1	0	0
Potri.002G221100.0	2	1	3	0	3
Potri.002G221200.0	0	0	0	0	0
Potri.002G221300.0	57	85	50	29	58
Potri.002G221400.0	585	552	619	394	865
Potri.002G221500.0	446	546	330	213	481
Potri.002G221600.0	32	55	32	12	70
Potri.002G221700.0	23	29	13	9	24
Potri.002G221800.0	0	0	0	0	0
Potri.002G221900.0	0	0	0	0	0
Potri.002G222000.0	0	0	0	0	0
Potri.002G222100.0	130	160	95	63	129
Potri.002G222200.0	63	70	52	32	64
Potri.002G222300.0	1	1	1	0	4
Potri.002G222400.0	226	351	198	145	321
Potri.002G222500.0	0	0	0	1	1
Potri.002G222600.0	332	410	87	56	136
Potri.002G222700.0	9	11	6	3	11
Potri.002G222800.0	0	0	2	3	4
Potri.002G222900.0	0	0	0	0	0
Potri.002G223000.0	19	22	16	5	18
Potri.002G223100.0	7466	5606	1750	1650	2207
Potri.002G223200.0	0	0	0	0	0
Potri.002G223300.0	163	307	175	136	311
Potri.002G223400.0	0	0	0	0	0
Potri.002G223500.0	0	0	0	0	0
Potri.002G223600.0	122	192	104	68	158
Potri.002G223700.0	140	157	122	76	186
Potri.002G223800.0	0	0	0	0	0
Potri.002G223900.0	0	0	0	0	0
Potri.002G224000.0	0	0	0	0	0
Potri.002G224100.0	44	112	3	1	9
Potri.002G224200.0	8	10	1	4	5
Potri.002G224300.0	20	20	14	11	21
Potri.002G224400.0	2	1	1	2	0
Potri.002G224500.0	0	0	0	0	0
Potri.002G224600.0	13	25	3	5	18
Potri.002G224700.0	77	88	50	37	88
Potri.002G224800.0	349	436	268	232	455
Potri.002G224900.0	20	33	15	16	35
Potri.002G225000.0	16	17	6	9	19
Potri.002G225100.0	47	53	27	15	31
Potri.002G225200.0	0	0	0	0	0
Potri.002G225300.0	0	0	0	0	0
Potri.002G225400.0	0	0	0	0	0
Potri.002G225500.0	23	24	6	12	33
Potri.002G225600.0	30	23	15	14	18
Potri.002G225700.0	0	0	0	0	1
Potri.002G225800.0	181	259	204	118	218
Potri.002G225900.0	0	0	0	0	0
Potri.002G226000.0	18	16	10	3	23
Potri.002G226100.0	0	0	0	0	0
Potri.002G226200.0	69	136	56	33	86
Potri.002G226300.0	15	20	25	38	38
Potri.002G226400.0	4	5	2	3	3
Potri.002G226500.0	7	4	7	1	8
Potri.002G226600.0	255	381	245	121	289
Potri.002G226700.0	1	0	0	0	0
Potri.002G226800.0	13	13	9	9	24
Potri.002G226900.0	184	200	94	66	130
Potri.002G227000.0	0	0	0	0	0
Potri.002G227100.0	242	299	196	159	293
Potri.002G227200.0	123	172	111	70	151
Potri.002G227300.0	0	0	0	0	0
Potri.002G227400.0	0	0	0	0	0
Potri.002G227500.0	1	7	1	1	4
Potri.002G227600.0	0	2	5	1	5
Potri.002G227700.0	0	0	2	0	0
Potri.002G227800.0	0	0	0	0	0
Potri.002G227900.0	1	0	0	0	2
Potri.002G228000.0	0	0	0	0	1
Potri.002G228100.0	1	3	0	0	1
Potri.002G228200.0	118	169	75	37	58
Potri.002G228300.0	1057	1711	916	536	1266
Potri.002G228400.0	0	0	0	1	0
Potri.002G228500.0	0	0	0	0	0
Potri.002G228600.0	28	24	21	11	30
Potri.002G228700.0	0	0	0	0	0
Potri.002G228800.0	641	928	494	330	667
Potri.002G228900.0	783	1166	1215	857	1612
Potri.002G229000.0	46	56	35	21	59
Potri.002G229100.0	101	130	67	41	107
Potri.002G229200.0	1229	1312	1007	595	1440
Potri.002G229300.0	0	0	0	0	0
Potri.002G229400.0	0	0	0	0	0
Potri.002G229500.0	1	0	2	0	0
Potri.002G229600.0	0	0	0	0	0
Potri.002G229700.0	0	0	0	0	0
Potri.002G229800.0	0	0	0	0	0
Potri.002G229900.0	8	9	8	4	8
Potri.002G230000.0	2	1	0	0	0
Potri.002G230100.0	2	0	0	0	1
Potri.002G230200.0	0	0	7	0	0
Potri.002G230300.0	6	3	1	0	1
Potri.002G230400.0	0	0	0	0	0
Potri.002G230500.0	0	0	0	0	0
Potri.002G230600.0	343	467	275	193	410
Potri.002G230700.0	105	127	84	46	132
Potri.002G230800.0	146	226	124	71	176
Potri.002G230900.0	23	20	19	8	34
Potri.002G231000.0	36	53	30	18	54
Potri.002G231100.0	1257	1604	987	574	1202
Potri.002G231200.0	0	0	0	0	0
Potri.002G231300.0	0	0	0	0	0
Potri.002G231400.0	0	0	0	0	0
Potri.002G231500.0	5	9	10	4	8
Potri.002G231600.0	0	0	0	0	0
Potri.002G231700.0	39	34	18	7	31
Potri.002G231800.0	131	168	77	67	152
Potri.002G231900.0	719	712	444	363	851
Potri.002G232000.0	0	0	0	0	0
Potri.002G232100.0	131	161	100	76	192
Potri.002G232200.0	714	996	598	371	797
Potri.002G232300.0	0	2	1	1	1
Potri.002G232400.0	0	0	0	0	0
Potri.002G232500.0	131	172	192	207	425
Potri.002G232600.0	186	209	162	92	205
Potri.002G232700.0	0	1	0	1	0
Potri.002G232800.0	104	153	116	62	143
Potri.002G232900.0	0	0	0	0	0
Potri.002G233000.0	0	0	2	0	0
Potri.002G233100.0	0	0	0	0	0
Potri.002G233200.0	1	2	0	0	0
Potri.002G233300.0	11	20	15	12	14
Potri.002G233400.0	316	446	204	144	286
Potri.002G233500.0	108	103	55	43	62
Potri.002G233600.0	10	29	6	5	5
Potri.002G233700.0	105	132	64	48	106
Potri.002G233800.0	30	45	11	17	32
Potri.002G233900.0	12	5	11	6	17
Potri.002G234000.0	52	46	18	7	25
Potri.002G234100.0	94	76	24	17	33
Potri.002G234200.0	33	31	11	8	16
Potri.002G234300.0	6	2	1	2	3
Potri.002G234400.0	44	53	29	19	57
Potri.002G234500.0	111	165	110	53	142
Potri.002G234600.0	347	500	281	242	353
Potri.002G234700.0	113	157	106	59	175
Potri.002G234800.0	0	0	0	0	0
Potri.002G234900.0	16	25	20	16	22
Potri.002G235000.0	0	1	0	0	0
Potri.002G235100.0	0	0	0	0	0
Potri.002G235200.0	20	13	16	12	24
Potri.002G235300.0	0	0	0	0	0
Potri.002G235400.0	109	173	87	53	107
Potri.002G235500.0	45	84	51	27	50
Potri.002G235600.0	1	3	1	3	2
Potri.002G235700.0	86	103	113	40	135
Potri.002G235800.0	4	1	5	0	0
Potri.002G235900.0	67	124	44	29	53
Potri.002G236000.0	24	36	21	12	26
Potri.002G236100.0	0	0	0	0	0
Potri.002G236200.0	59	77	30	20	23
Potri.002G236300.0	3	6	4	1	5
Potri.002G236400.0	0	0	0	0	0
Potri.002G236500.0	0	0	0	0	0
Potri.002G236600.0	98	163	98	75	125
Potri.002G236700.0	0	1	2	0	0
Potri.002G236800.0	53	60	23	16	38
Potri.002G236900.0	0	0	0	0	0
Potri.002G237000.0	75	61	40	38	76
Potri.002G237100.0	3	2	1	0	2
Potri.002G237200.0	140	183	117	66	130
Potri.002G237300.0	2	8	7	2	3
Potri.002G237400.0	0	0	0	0	0
Potri.002G237500.0	60	64	38	19	63
Potri.002G237600.0	21	34	9	8	21
Potri.002G237700.0	63	84	50	33	54
Potri.002G237800.0	107	134	92	61	114
Potri.002G237900.0	35	57	46	14	41
Potri.002G238000.0	86	104	71	44	108
Potri.002G238100.0	79	65	57	29	80
Potri.002G238200.0	577	593	389	205	453
Potri.002G238300.0	211	312	144	116	220
Potri.002G238400.0	0	0	0	0	0
Potri.002G238500.0	12	22	17	4	20
Potri.002G238600.0	140	223	159	97	193
Potri.002G238700.0	0	0	0	0	0
Potri.002G238800.0	23	17	178	144	132
Potri.002G238900.0	112	152	55	29	67
Potri.002G239000.0	279	395	202	151	240
Potri.002G239100.0	0	0	0	0	0
Potri.002G239200.0	0	0	0	0	0
Potri.002G239300.0	26	32	20	21	32
Potri.002G239400.0	118	139	82	48	118
Potri.002G239500.0	719	874	387	291	544
