ID	6.1_2.57.1	6.1_2.57.2	6.1_2.57.3	6.5_2.76.1_MERGED	6.5_2.76.2_MERGED	6.5_2.76.3_MERGED	6.6_2.05.1_MERGED	6.6_2.05.2_MERGED	6.6_2.42.4_MERGED	6.6_2.42.5_MERGED	6.6_2.42.6_MERGED	6.6_2.24.1_MERGED	6.6_2.24.2_MERGED	6.6_2.24.3_MERGED	6.6_2.14.1_MERGED	6.6_2.14.2_MERGED	6.6_2.14.3_MERGED	6.6_2.29.1_MERGED	6.6_2.28.1_MERGED	6.6_2.32.1_MERGED	6.6_2.30.1_MERGED	6.6_2.33.1_MERGED	6.6_2.31.1_MERGED	6.6_2.27.1_MERGED	6.6_2.27.2_MERGED	6.6_2.27.3_MERGED	6.6_2.52.1_MERGED	6.6_2.52.2_MERGED	6.6_2.52.3_MERGED	6.6_2.03.1_MERGED	6.6_2.03.2_MERGED	6.6_2.03.3_MERGED	6.6_2.16.1_MERGED	6.6_2.16.2_MERGED	6.6_2.16.3_MERGED	6.6_2.45.1_MERGED	6.6_2.45.2_MERGED	6.6_2.45.3_MERGED	6.6_2.15.1_MERGED	6.6_2.15.2_MERGED	6.6_2.15.3_MERGED	6.6_2.40.1_MERGED	6.6_2.40.2_MERGED	6.6_2.40.3_MERGED	6.6_2.47.1_MERGED	6.6_2.47.2_MERGED	6.6_2.47.3_MERGED
174	12	10	14	0	0	0	1	2	0	0	2	0	0	0	7	0	0	1	0	0	0	4	0	6	11	5	0	0	0	0	0	0	5	0	5	3	2	0	2	0	0	0	0	0	1	0	0
175	0	0	0	0	2	0	2	0	1	1	3	60	4	2	6	29	0	2	3	3	16	108	1	11	10	3	3	0	0	2	0	1	13	12	1	5	11	0	4	1	21	15	127	11	53	46	78
176	0	0	0	1	1	2	0	0	0	0	0	2	0	0	0	3	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	3	1	2	1	26	1	24	41	46
177	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	43	1	0	0	0	0	0	0	0	0	0	1	0	1	0	9	0	0	0	2	3	110	13	72	63	70
178	0	8	27	0	0	0	0	2	1	0	0	0	0	0	4	0	0	0	0	1	0	1	0	2	8	4	0	0	0	0	0	0	49	8	7	12	0	4	136	0	54	0	138	6	0	0	12
179	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	3	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	4	9	0	0	1	2	0	4	1	58	6	15	1	0	0	0
180	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	3	1	0	18	0	0	1	0	9	0	2	18	3	1	108	5	3	0	9	2	0	0	5
181	4	2	4	0	0	0	1	1	2	2	2	0	1	0	0	0	0	0	0	1	15	12	8	539	5	2	8	29	83	2	4	1	10	7	3	20	8	1	7	374	131	2	551	891	5	2	4
182	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	14	0	14	24	15
183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	1	1	0	1	13	0	12	0	12	0	0	0	1
184	0	0	0	1	0	0	0	1	0	0	9	22	4	1	5	14	0	3	5	12	15	24	10	11	12	2	0	1	0	3	0	3	20	41	4	18	26	3	23	0	43	25	56	55	44	53	61
185	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	41	0	0	0	0	0	61	0	38	2	1	0	0	4	2	0	0	1	0	1	368	7	0	0
186	0	0	0	0	0	0	0	3	5	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	8	2	11	1	0	0	0	0	3	6	0	1	0	12	0	0	62	1	6	0	0	0
187	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	8	7	7
188	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	100	0	0	1	0	0	0	0	0	2	6	1	0	0	1	3	1	1	0	441	6	1	1	0
189	0	0	1	1	1	3	2	1	0	0	0	0	0	1	0	0	0	0	0	0	2	10	0	0	1	3	1	0	9	0	0	0	0	2	0	0	0	0	0	2	1	5	6	4	6	10	6
190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	2	6	1	0	1	11	8	0	8	1	3	3	4
191	0	0	0	0	0	0	0	2	0	0	2	1	0	1	0	0	2	0	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	5	0	0	0	0
192	0	0	0	1	0	0	0	0	0	0	0	3	3	0	3	6	0	8	10	15	10	5	2	29	4	11	0	0	0	0	0	0	9	17	0	0	11	0	4	1	26	8	9	30	41	31	40
193	2	0	0	14	3	2	5	0	2	0	3	0	0	0	0	10	0	0	0	10	4	6	1	9	0	20	1	23	4	2	13	0	8	29	2	3	2	1	0	5	11	1	144	1	2	8	4
194	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	3	3	5	5
195	28	36	67	5	2	7	1	2	29	2	8	1	7	13	17	6	0	7	2	9	15	31	12	26	28	17	0	2	7	2	0	9	408	44	47	1280	120	20	326	13	151	8	438	26	14	6	37
