OTU	SHA1	Superkingdom	Phylum	Class	Order	Family	Genus	Species
498	5eb9fa14de58e1ce1d30694138495e20b3b879b6	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
499	5ed728ada9af3500ce141c45b68555ca99c9cea5	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
500	5fbf4c0385ff0ac403bcebe2481b559b83902da3	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	unidentified
501	6011d48a27f150dec1c12e6f9d232380fdb4fae2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
502	603f48ae86ab6a9a2808a90d4475340f2ab21381	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	unidentified	unidentified
503	6065ecaa4e3737b89f8c801f1c1ff191bea3d4d1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophoma	unidentified
504	6068db7e011c029b2d7325cac05dc32a6d3f5a90	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
505	6080ba9c4d2d1262bd2d5bf7504d1e5674acd2cb	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
506	612f91fdcc26e16b809ab864a49ee834e35efd0f	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
507	6130c3b3a2e17ca33fe4563af5624630b7970035	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
508	613674ea233f34dbec6775dea619f2acaab9018f	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	unidentified
509	61563b7474dede7b25619ab8a662fdc0b470c4a1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
510	617cdc3223f3a386d6e0600e8c6c16b1b4859531	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neostagonospora	Neostagonospora_caricis
511	61e2023fbf2a1660ddaf2c56d5ffab19c8503e9c	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
512	61f1ffd87e949e95b915a2ccb545318f59655777	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Kabatiella	unidentified
513	620520e6250186ef8a715c4956c20dfb9b30207a	Fungi	Ascomycota	Sordariomycetes	Hypocreomycetidae_ord_Incertae_sedis	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella_cucumerina
514	6319ddaed7ced803e182fd498375718f3d081ddb	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
515	631e0b8497558454e02a2b7c86e3f85a11b95c13	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
516	632e6e0b19fd3261868852ea7d3497ff1b633fcc	Fungi	Ascomycota	Leotiomycetes	Rhytismatales	Rhytismataceae	unidentified	unidentified
517	6347265ffdd0db4d2f9284d1415602caaf456a04	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unidentified	unidentified	unidentified
518	634b9a27b73c77fc8a03a596f31672f739aec4d7	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified
519	63581b909f3b45d0933f6de4d4d7888b4c4b97c8	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthales_fam_Incertae_sedis	Linospora	Linospora_saligna
520	63bb237d1806700638094272e046e81eb509942b	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	unidentified
521	6416e949e853b884d301b68cc8d515261233d8c7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
522	64822d39676f9cbe0ea29751fc73f6b994924c6a	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium_pinicola
523	64be082163e8913b1aaf99b86916b65faa5c42e2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
524	65b3ed8e060464c53cadb32a46731478ccfb5913	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
525	65e18f106df572ee35f0def4625029287ae6cc01	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
526	6686ec31db990ab30f73cadd018bb6c52a62d0f0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
527	66b80c95ed05f9f08cc93b9f493b9e1b2b6ea5f9	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
