ID	3.1-4.2_2.76.1	3.1-4.2_2.76.2	3.1-4.2_2.76.3	3.1-4.2_2.05.1	3.1-4.2_2.05.2	3.1-4.2_2.05.3	2.42.1_MERGED	2.42.2_MERGED	2.42.3_MERGED	2.24.4_MERGED	2.24.5_MERGED	2.24.6_MERGED	3.1-4.2_2.14.1	3.1-4.2_2.14.2	3.1-4.2_2.14.3	2.29.4_MERGED	3.2-4.1_2.28.1	3.2-4.1_2.32.1	3.2-4.1_2.30.1	3.2-4.1_2.33.1	3.2-4.1_2.31.1	2.27.4_MERGED	2.27.5_MERGED	2.27.6_MERGED	3.1-4.2_2.03.1	3.1-4.2_2.03.2	3.1-4.2_2.03.3	2.16.1_MERGED	2.16.2_MERGED	2.16.3_MERGED	2.45.1_MERGED	2.45.2_MERGED	2.45.3_MERGED	2.46.1_MERGED	2.46.2_MERGED	2.46.3_MERGED	2.41.1_MERGED	2.41.2_MERGED	2.41.3_MERGED	2.48.4_MERGED	2.48.5_MERGED	2.48.6_MERGED
265	4	1	1	1	5	3	2	2	0	0	1	2	1	1	2	1	0	0	2	0	1	25	18	28	2	0	3	9	14	24	6	4	37	5	4	2	1	1	2	0	0	4
266	2	1	1	0	6	7	0	2	1	12	14	12	1	2	2	3	3	0	0	0	1	8	2	0	40	29	41	5	11	28	10	28	23	15	8	9	5	6	3	3	5	5
267	2	0	0	0	11	9	0	1	0	1	1	2	2	1	2	0	0	0	0	0	0	1	1	0	3	1	2	8	3	6	10	5	5	14	9	5	1	3	1	3	3	5
268	4	5	4	0	1	0	1	3	2	13	1	10	1	0	1	6	1	7	4	1	2	86	58	72	4	1	0	6	11	5	0	1	0	5	0	0	8	10	5	5	12	20
269	4	2	4	0	3	0	3	1	2	8	9	8	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	12	4	2	14	6	5	2	2	2	0	1	1	0	1	1
270	98	53	89	0	21	19	0	1	0	29	19	15	0	9	2	0	3	3	0	0	0	14	10	19	1	1	3	20	30	21	34	24	29	19	19	19	5	3	0	1	5	6
271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	10	47	0	0	1
272	1	0	0	0	9	5	0	0	1	3	5	6	0	1	0	0	0	0	0	0	0	0	0	0	4	3	12	0	2	3	3	5	4	1	0	1	0	0	0	0	0	0
273	57	40	46	1	20	22	0	1	0	9	5	10	1	3	2	1	0	0	0	0	0	5	0	2	24	18	29	21	23	26	93	52	47	19	26	19	18	21	8	2	9	13
274	3	3	2	1	2	3	0	0	0	3	0	5	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	4	1	3	9	6	4	4	0	4	1	1	1	0	0	1
275	0	1	1	0	5	12	1	0	1	6	1	4	0	2	0	0	0	0	0	0	0	0	2	0	4	2	3	2	5	1	10	8	11	2	0	2	1	2	0	1	1	3
276	1	0	0	0	1	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	4	4	3	5	6	1	2	6	3	4	7	1	1	1	1
277	1	0	0	0	0	0	0	0	0	12	3	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	27	1	1	1	1	0	1	0	1	0	0	0	0
278	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	8	0	0	2	5	0	7	0	0	0	34	302	64	112	238	143	100	99	54	0	5	2	0	0	1
279	4	0	1	0	1	0	0	0	0	14	5	31	0	0	0	0	2	1	0	0	1	0	0	0	1	2	3	6	5	3	37	36	53	4	9	0	1	0	1	0	0	0
280	0	0	0	0	11	11	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	2	6	3	2	0	0	0	1	0	1	1	2	2
281	0	0	0	1	5	9	1	7	0	1	1	1	2	0	1	0	0	3	1	2	1	32	17	20	1	3	0	14	32	37	2	7	56	4	4	1	2	3	1	2	3	2
282	3	2	2	0	2	4	1	0	0	3	2	6	3	17	10	0	0	0	0	0	0	0	0	0	3	0	5	10	9	11	11	8	2	10	1	6	0	1	0	0	2	0
283	0	0	0	0	4	2	4	2	4	9	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	5	9	13	9	4	3	0	0	2	1	0	0	0
284	0	0	0	0	1	21	0	0	0	27	2	2	0	4	1	0	69	18	6	11	4	4	1	1	1	0	1	2110	1630	1085	11	76	35	73	83	44	0	2	0	2	3	0
285	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	1	2	8	6	7	122	63	48	15	11	14	2	0	0	0	0	0
286	5	1	3	0	15	27	0	0	2	5	3	6	2	1	4	0	1	1	0	0	0	3	1	0	45	26	43	13	11	14	85	70	52	15	25	19	7	3	2	0	2	4
287	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	8	10	8	8	4	7	1	0	0	0	0	0
288	3	2	2	0	2	6	4	3	5	8	5	5	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	4	11	10	30	22	18	4	2	1	0	0	2	0	2	1
289	24	11	27	1	45	67	5	8	6	26	24	33	11	33	16	0	2	1	1	0	0	2	2	2	66	47	75	79	83	81	190	169	114	53	79	52	70	79	45	27	51	116
290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	173	190	4	8	12	18	8	13	0	1	0	0	0	0
291	3	0	2	1	2	2	0	1	0	5	2	2	1	2	1	0	0	0	0	0	0	0	0	0	3	1	1	4	15	3	10	5	8	2	2	1	3	4	1	1	4	3
292	9	3	7	0	12	12	4	7	2	16	1	13	2	10	9	0	0	1	0	0	0	3	2	0	43	27	51	26	27	24	53	50	34	29	28	12	28	33	17	6	28	50
293	1	1	0	0	0	0	4	2	4	4	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	4	7	6	0	0	1	0	0	0	1	0	0
294	2	0	0	0	4	2	0	0	0	0	0	0	2	7	6	0	0	0	0	0	0	0	0	0	5	2	2	13	4	2	8	0	3	1	2	1	10	7	11	3	15	25
