OTU	SHA1	Superkingdom	Phylum	Class	Order	Family	Genus	Species
765	c8a1c7dfa1ede894fec1512d73c93bef3fd4714d	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	uncultured bacterium
766	c8a7f6e45fe41e216638be8b41320135f694bd9d	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
767	c8d65870257a9fc9df6d06d41c71fd2d530d6f65	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	uncultured	uncultured beta proteobacterium
768	c8ea0416439003d02bf1ab800e4dcedd49b1ac8a	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Paraburkholderia	uncultured Burkholderiaceae bacterium
769	c8ee862e0cf2f4cd7fcc5f4c43bd17dd6abe7e71	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Iodobacter	Ambiguous_taxa
770	c9f20f9f35d24f89e15b7cb1e6e03bc01468be30	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Ambiguous_taxa
771	ca04588fc1b014fcdd0af9b06ee0ca3ab9aadb65	Bacteria	Firmicutes	Bacilli	Bacillales	Family XII	Exiguobacterium	uncultured bacterium
772	ca2417c072fe3d265906fb42158afe1b4d39eef4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	uncultured bacterium
773	cad439379c8c806f15db9fc4d4324f834b3bb423	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. SMS_10
774	cada7d7c4ccc63e01db38fa720ae7794d4ab54c5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Ambiguous_taxa
775	caf90fcceb063d736e4cbb147a8c9f1885d606f2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Paraburkholderia	Ambiguous_taxa
776	cb1a3e8bd690053baeeda9349350d09b63ce1766	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	Ambiguous_taxa
777	cb28cf5a9bcfec4221ca29d7b2bea4d054afdf82	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Undibacterium	uncultured bacterium
778	cc1ecf3c21dcdc1fe027912d1851eb3e1e9eb255	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	uncultured	uncultured bacterium
779	cc3158eee2f72260f215aded776adc03b5e95240	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	uncultured bacterium
780	cc50aeb54c8cc010b8d508f29b83e1fef248ca4b	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Alsobacter	Ambiguous_taxa
781	cc6ede5d9a959778b21c6c36b13058fb195dd579	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	Ambiguous_taxa
782	ccb08d8ec03ef57a0963f0ec0ce9193be06a6c1b	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Ambiguous_taxa
783	ccb0dc67eda55b5b4d982bb763d7cbc186040cc6	Bacteria	Firmicutes	Bacilli	Lactobacillales	16d63.751	uncultured bacterium	uncultured bacterium
784	cd7a565b3706ad3ab6c5069977cfc027636c5fc3	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	Oligoflexus	uncultured bacterium
785	cd9e7c1b640ed13d620dee05ca11646c86105344	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Rhizomicrobium	uncultured bacterium
786	cd9f556e093e3599b54cf69d40884ff1b5fdad43	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Bryocella	Ambiguous_taxa
787	cdb7547554abdaa1630f1f90ad219ddcc9708c0a	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	uncultured	uncultured soil bacterium
788	cde62f0b20dd376eee993a1dcebeda2ce633154d	Bacteria	Verrucomicrobia	Verrucomicrobia Incertae Sedis	Unknown Order	Unknown Family	Candidatus Methylacidiphilum	uncultured bacterium
789	cdfa7a776c04d5a251533abd7a3ba0c96bd379c9	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	Ambiguous_taxa
790	ce5a67917106fb03c205070018858900b651bf46	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus kefiranofaciens subsp. kefiranofaciens
791	ceb43c0fe4497ab5c58db840791b16f10cafd878	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales Incertae Sedis	Candidatus Microthrix	Ambiguous_taxa
792	ceb8a281c100186ec3579c81f1003292220aae4e	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	uncultured bacterium
793	cec9cd5d1cbf20f3334f6c9fb3c5ff8c2599c26d	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	uncultured	uncultured bacterium
794	cede7a59c9528cb2ec171b85fb8e2377187b7d7c	Bacteria	Proteobacteria	Gammaproteobacteria	X35	uncultured bacterium	uncultured bacterium	uncultured bacterium
795	cf1b5b71520226b1a6021ae553b8562f392be76e	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	uncultured bacterium
796	cf22e58f547eef6a5a96cbfca5699366fb8f67dc	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	uncultured	uncultured bacterium
797	cf3aa616ae7f7f083a8ad87c81236f0e77a51ed9	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	uncultured bacterium
798	cf94048dceee8fcd7c04f1d97d6c2e0ed390a17f	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria Incertae Sedis	uncultured	uncultured bacterium	uncultured bacterium
799	cfd700c6cc1d88fa6e746d1c84c4eeae2c91ce5d	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	uncultured bacterium
800	cfdd849c30b574fe5235ac492fab87d592d1e942	Bacteria	Proteobacteria	Gammaproteobacteria	HTA4	uncultured bacterium	uncultured bacterium	uncultured bacterium
801	d02d0a26fc6d43205c8ead40bba5135c88783fee	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionII	FamilyII	Chroococcidiopsis	uncultured bacterium
802	d0368b20843f0583d6819a09cc798bbef70e9a34	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
803	d042b1ed69c4975cb9ddb83afd10186c88b8b57d	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Ambiguous_taxa
804	d078eea7f7007ee3320b558d0619d50b7a796632	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured bacterium
805	d07af3d4e8aa4cdb2bb6a3b14978af8bde16192f	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	uncultured	uncultured bacterium
806	d083a9985818b476ad68a9824ef0b21d7df317e3	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	uncultured	uncultured bacterium
